Locationid,Location,LocPropertyType,LocProvince,LocPostal,LocDistrict,LocRegion,RegionName,Market,PopulationRank,FundraisingYear,cy_funds,cy_1_funds,cy_2_funds,change,target,cy_checkins,cy_1_checkins,cy_2_checkins,cy_contacts,cy_1_contacts,cy_2_contacts,cy_images,cy_1_images,cy_2_images,cy_notes,cy_1_notes,cy_2_notes
130813,5343,Buy More Supercenter,VA,22407,291,27,Northeast,"Washington, DC",3,2018,8368.23,13163.3698,32380.0166,-0.364279047,0,2,6,5,0,1,0,0,3,0,0,6,2
129128,2814,Buy More Supercenter,FL,33016,110,11,Southeast,Miami-Ft. Lauderdale,3,2016,22930.3299,31309.64,32351.56,-0.267627162,0,0,0,0,0,0,0,0,0,0,0,0,0
130651,5155,Buy More Supercenter,NM,88005,387,46,West,Albuquerque-Santa Fe,2,2016,12749.0633,28423.52,32233.54,-0.551460787,0,1,0,0,2,0,0,0,0,0,0,0,0
128491,2126,Buy More,HI,96789,470,49,West,Honolulu,2,2018,35961.4097,38813.9199,32105.3801,-0.073491938,0,2,2,4,0,3,1,3,2,13,1,1,2
131664,668,Buy More Supercenter,TN,37110,152,12,Southeast,Nashville,2,2015,8921.82,9843.05,32090.4697,-0.093591925,0,0,0,0,0,0,0,0,0,0,0,0,0
128394,2038,Buy More Supercenter,VA,20166,292,75,Northeast,"Washington, DC",3,2016,11745.4201,31722.76,32082.68,-0.62974785,0,3,0,0,1,0,0,0,0,0,2,0,0
127994,1674,Buy More Supercenter,MD,21740,280,75,Northeast,"Washington, DC",3,2017,25330.3298,31072.2333,32053.08,-0.184792108,0,4,3,0,2,0,0,1,0,0,4,3,0
128577,221,Buy More Supercenter,OK,73099,352,44,Central,Oklahoma City,2,2015,7157.55,4200.88,32030.6395,0.70382158,1,0,0,0,0,0,0,0,0,0,0,0,0
130775,5305,Buy More,CA,91911,458,57,West,San Diego,3,2018,17118.73,19921.9199,31936.2299,-0.140708823,0,2,2,1,0,1,0,3,1,0,2,1,0
127681,1391,Buy More Supercenter,FL,32119,94,9,Southeast,Orlando,2,2017,6356.1098,17170.56,31874.57,-0.629825131,0,12,1,0,0,2,0,0,8,0,11,0,0
127855,1549,Buy More Supercenter,AZ,85035,368,46,West,Phoenix,3,2016,6485.2465,20669.48,31848.32,-0.686240462,0,1,0,0,0,0,0,3,0,0,0,0,0
128187,1848,Buy More Supercenter,IL,60137,264,25,Central,Chicago,3,2016,4785.3733,6295.25,31728.32,-0.239843803,0,1,0,0,1,0,0,0,0,0,0,0,0
128394,2038,Buy More Supercenter,VA,20166,292,75,Northeast,"Washington, DC",3,2017,13239.0498,11745.4201,31722.76,0.127166988,0,3,3,0,0,1,0,0,0,0,1,2,0
132079,817,Buy More Supercenter,FL,34746,90,9,Southeast,Orlando,2,2016,8580.6134,12433.72,31640.22,-0.309891698,0,2,0,0,0,0,0,0,0,0,1,0,0
127633,1348,Buy More Supercenter,NC,28412,300,4,Southeast,Raleigh-Durham,3,2017,3368.3898,6004.0699,31636.07,-0.438982248,0,2,1,0,1,2,0,0,0,0,1,2,0
129449,3237,Buy More Supercenter,SD,57110,430,52,West,Sioux Falls-Mitchell,1,2017,10547.0199,17363.9268,31624.27,-0.392590166,0,6,0,0,2,0,0,8,2,0,3,0,0
